IdRestaurante,Nome,Média de Estrelas,Quantidade de Reviews,Faixa de Preço,Categoria,Bairro,Possui Reserva,Oferece Retirada,Oferece Serviço de Bufê,Oferece Delivery,Possui Muitas Opções Vegetarianas,Possui Opções Veganas,Agilidade no Serviço,Lentidão no Serviço,Variedade de Opções,Cardápio Limitado,Sabor Agradável,Sabor Insatisfatório,Ingredientes de Qualidade,Ingredientes de Baixa Qualidade,Pratos Apresentáveis,Má Apresentação dos Pratos,Atendimento Bom,Atendimento Ruim,Ambiente Confortável,Ambiente Desconfortável,Bom Custo-Benefício,Preços Elevados,Recomendo,Não Recomendo,Voltaria,Não Voltaria,Outros Positivos,Outros Negativos
0,Churrascaria Palace,4.3,162,5,Steakhouses ,Copacabana,True,False,False,False,True,False,1,8,9,7,6,6,5,3,8,7,0,0,0,1,0,0,0,0,2,1,0,0
1,Confeitaria Colombo,4.2,157,3,Cafes,Centro,,True,False,False,False,False,0,3,3,0,2,3,8,2,7,5,3,3,1,2,0,1,3,1,0,1,2,1
2,Aprazível,4.3,147,4,Brazilian,Santa Teresa,True,False,False,False,False,True,0,1,7,2,4,5,6,2,7,6,2,1,2,2,0,1,2,1,1,0,1,0
